Categoría,Banco,Comercio/Promoción,Cantidad de descuento / beneficio,Día de promoción,Vigencia,Detalle,URL,Montos / topes,Localidad
Otros,Sudameris,La Guarania Gran Almacén,25% de reintegro Hasta 12 cuotas sin interés,Último sábado de cada mes,Desde 2026-07-01 hasta 2026-12-31,"25% de reintegro Hasta 12 cuotas sin interés.  1 ZONA SUR – ENCARNACIÓN VIGENCIA • Verificar según aplicación de promoción (ver cuadro más abajo). BENEFICIOS • Descuento en caja del comercio según aplicación de promoción (ver cuadro más abajo). • Reintegro en extracto según aplicación de promoción (ver cuadro más abajo). • Cuotas sin interés según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por cuenta de tarjeta de crédito: según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas únicamente con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, compras vía e-commerce y QR según aplicación de promoción (ver cuadro más abajo).. • Si un comercio tiene sucursales en diferentes ciudades, el tope de compra mensual se aplicará por comercio o marca, no por zona. El tope de compra mensual será único para la marca en su conjunto. • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A. • Promoción válida única y exclusivamente para compras realizadas vía POS de Bancard (Red Infonet). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, de débito, Bancard Check, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras a través de otras procesadoras (Dinelco, Cabal, etc). • Se excluyen del beneficio las compras realizadas con plataformas digitales ajenas a cada marca (Pedidos Ya, Monchis, Gu y/o Pedile a Charly). • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/media/ByC/bc-zonasurencarnacion-4926.pdf,Tope de compra mensual: Gs. 800.000,Zona Sur - Encarnación
Otros,Sudameris,Le Chic,20% de reintegro + 5% elite Hasta 10 cuotas sin interés,Viernes y sábado,Desde 2026-03-06 hasta 2027-02-28,"20% de reintegro + 5% elite Hasta 10 cuotas sin interés.  1 ZONA SUR – ENCARNACIÓN VIGENCIA • Verificar según aplicación de promoción (ver cuadro más abajo). BENEFICIOS • Descuento en caja del comercio según aplicación de promoción (ver cuadro más abajo). • Reintegro en extracto según aplicación de promoción (ver cuadro más abajo). • Cuotas sin interés según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por cuenta de tarjeta de crédito: según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas únicamente con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, compras vía e-commerce y QR según aplicación de promoción (ver cuadro más abajo).. • Si un comercio tiene sucursales en diferentes ciudades, el tope de compra mensual se aplicará por comercio o marca, no por zona. El tope de compra mensual será único para la marca en su conjunto. • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A. • Promoción válida única y exclusivamente para compras realizadas vía POS de Bancard (Red Infonet). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, de débito, Bancard Check, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras a través de otras procesadoras (Dinelco, Cabal, etc). • Se excluyen del beneficio las compras realizadas con plataformas digitales ajenas a cada marca (Pedidos Ya, Monchis, Gu y/o Pedile a Charly). • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/media/ByC/bc-zonasurencarnacion-4926.pdf,Tope de compra mensual: GS 1.000.000,Zona Sur - Encarnación
Otros,Sudameris,Liberato,20% de reintegro Hasta 10 cuotas sin interés,viernes y sábado,Desde 2026-03-06 hasta 2027-02-28,"20% de reintegro Hasta 10 cuotas sin interés. (No aplica WEB) 1 ZONA SUR – ENCARNACIÓN VIGENCIA • Verificar según aplicación de promoción (ver cuadro más abajo). BENEFICIOS • Descuento en caja del comercio según aplicación de promoción (ver cuadro más abajo). • Reintegro en extracto según aplicación de promoción (ver cuadro más abajo). • Cuotas sin interés según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por cuenta de tarjeta de crédito: según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas únicamente con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, compras vía e-commerce y QR según aplicación de promoción (ver cuadro más abajo).. • Si un comercio tiene sucursales en diferentes ciudades, el tope de compra mensual se aplicará por comercio o marca, no por zona. El tope de compra mensual será único para la marca en su conjunto. • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A. • Promoción válida única y exclusivamente para compras realizadas vía POS de Bancard (Red Infonet). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, de débito, Bancard Check, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras a través de otras procesadoras (Dinelco, Cabal, etc). • Se excluyen del beneficio las compras realizadas con plataformas digitales ajenas a cada marca (Pedidos Ya, Monchis, Gu y/o Pedile a Charly). • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/media/ByC/bc-zonasurencarnacion-4926.pdf,Tope de compra mensual: Gs. 1.000.000,Zona Sur - Encarnación
Otros,Sudameris,MI PORTAL COCA COLA,20% de reintegro Hasta 12 cuotas sin interés,Jueves,Desde 2025-12-18 hasta 2026-07-31,"20% de reintegro Hasta 12 cuotas sin interés. (Aplica Exclusivamente a pagos vía Web) 1 ZONA SUR – ENCARNACIÓN VIGENCIA • Verificar según aplicación de promoción (ver cuadro más abajo). BENEFICIOS • Descuento en caja del comercio según aplicación de promoción (ver cuadro más abajo). • Reintegro en extracto según aplicación de promoción (ver cuadro más abajo). • Cuotas sin interés según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por cuenta de tarjeta de crédito: según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas únicamente con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, compras vía e-commerce y QR según aplicación de promoción (ver cuadro más abajo).. • Si un comercio tiene sucursales en diferentes ciudades, el tope de compra mensual se aplicará por comercio o marca, no por zona. El tope de compra mensual será único para la marca en su conjunto. • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A. • Promoción válida única y exclusivamente para compras realizadas vía POS de Bancard (Red Infonet). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, de débito, Bancard Check, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras a través de otras procesadoras (Dinelco, Cabal, etc). • Se excluyen del beneficio las compras realizadas con plataformas digitales ajenas a cada marca (Pedidos Ya, Monchis, Gu y/o Pedile a Charly). • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/media/ByC/bc-zonasurencarnacion-4926.pdf,Tope de compra mensual: Gs. 1.000.000,Zona Sur - Encarnación
Otros,Sudameris,Malenki s Moda Infantil,10% de descuento en caja Hasta 10 cuotas sin interés,Todos los días,Desde 2026-06-07 hasta 2026-12-31,"10% de descuento en caja Hasta 10 cuotas sin interés.  1 ZONA SUR – ENCARNACIÓN VIGENCIA • Verificar según aplicación de promoción (ver cuadro más abajo). BENEFICIOS • Descuento en caja del comercio según aplicación de promoción (ver cuadro más abajo). • Reintegro en extracto según aplicación de promoción (ver cuadro más abajo). • Cuotas sin interés según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por cuenta de tarjeta de crédito: según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas únicamente con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, compras vía e-commerce y QR según aplicación de promoción (ver cuadro más abajo).. • Si un comercio tiene sucursales en diferentes ciudades, el tope de compra mensual se aplicará por comercio o marca, no por zona. El tope de compra mensual será único para la marca en su conjunto. • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A. • Promoción válida única y exclusivamente para compras realizadas vía POS de Bancard (Red Infonet). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, de débito, Bancard Check, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras a través de otras procesadoras (Dinelco, Cabal, etc). • Se excluyen del beneficio las compras realizadas con plataformas digitales ajenas a cada marca (Pedidos Ya, Monchis, Gu y/o Pedile a Charly). • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/media/ByC/bc-zonasurencarnacion-4926.pdf,Tope de compra mensual: N/A,Zona Sur - Encarnación
Otros,Sudameris,Mansion Design,20% de descuento en caja + 10% de reintegro Hasta 12 cuotas sin interés,viernes y sábado,Desde 2026-03-06 hasta 2027-02-28,"20% de descuento en caja + 10% de reintegro Hasta 12 cuotas sin interés. (Deco Group) 1 ZONA SUR – ENCARNACIÓN VIGENCIA • Verificar según aplicación de promoción (ver cuadro más abajo). BENEFICIOS • Descuento en caja del comercio según aplicación de promoción (ver cuadro más abajo). • Reintegro en extracto según aplicación de promoción (ver cuadro más abajo). • Cuotas sin interés según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por cuenta de tarjeta de crédito: según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas únicamente con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, compras vía e-commerce y QR según aplicación de promoción (ver cuadro más abajo).. • Si un comercio tiene sucursales en diferentes ciudades, el tope de compra mensual se aplicará por comercio o marca, no por zona. El tope de compra mensual será único para la marca en su conjunto. • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A. • Promoción válida única y exclusivamente para compras realizadas vía POS de Bancard (Red Infonet). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, de débito, Bancard Check, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras a través de otras procesadoras (Dinelco, Cabal, etc). • Se excluyen del beneficio las compras realizadas con plataformas digitales ajenas a cada marca (Pedidos Ya, Monchis, Gu y/o Pedile a Charly). • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/media/ByC/bc-zonasurencarnacion-4926.pdf,Tope de compra mensual: En Caja: Gs. 20.000.000 - Reintegro: Gs.3.000.000,Zona Sur - Encarnación
Otros,Sudameris,Mascotas & Cia,20% de reintegro Hasta 10 cuotas sin interés,viernes y sábados,Desde 2026-03-06 hasta 2027-02-27,"20% de reintegro Hasta 10 cuotas sin interés.  1 ZONA ESTE – CIUDAD DEL ESTE VIGENCIA • Verificar según aplicación de promoción (ver cuadro más abajo). BENEFICIOS • Descuento en caja del comercio según aplicación de promoción (ver cuadro más abajo). • Reintegro en extracto según aplicación de promoción (ver cuadro más abajo). • Cuotas sin interés según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por cuenta de tarjeta de crédito: según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas únicamente con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, compras vía e-commerce y QR según aplicación de promoción (ver cuadro más abajo).. • Si un comercio tiene sucursales en diferentes ciudades, el tope de compra mensual se aplicará por comercio o marca, no por zona. El tope de compra mensual será único para la marca en su conjunto. • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A. • Promoción válida única y exclusivamente para compras realizadas vía POS de Bancard (Red Infonet). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. • El fraccionamiento en cuotas se debe solicitar al momento de la compra en caja del comercio. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, de débito, Bancard Check, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras vía otras procesadoras (Dinelco, Cabal, etc), sub redes y/o plataformas que no sean Infonet (Pagopar, etc.). • No acumulable/combinable con otras promociones. • Se excluyen del beneficio las compras realizadas con plataformas digitales ajenas a cada marca (Pedidos Ya, Monchis, Gu y/o Pedile a Charly). • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/media/ByC/bc-zonaestecde-090926.pdf,Tope de compra mensual: GS. 800.000,Zona Este - Ciudad del Este
Otros,Sudameris,Me Encanta,20% de reintegro Hasta 12 cuotas sin interés,viernes y sábado,Desde 2026-03-06 hasta 2027-02-28,"20% de reintegro Hasta 12 cuotas sin interés.  1 ZONA SUR – ENCARNACIÓN VIGENCIA • Verificar según aplicación de promoción (ver cuadro más abajo). BENEFICIOS • Descuento en caja del comercio según aplicación de promoción (ver cuadro más abajo). • Reintegro en extracto según aplicación de promoción (ver cuadro más abajo). • Cuotas sin interés según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por cuenta de tarjeta de crédito: según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas únicamente con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, compras vía e-commerce y QR según aplicación de promoción (ver cuadro más abajo).. • Si un comercio tiene sucursales en diferentes ciudades, el tope de compra mensual se aplicará por comercio o marca, no por zona. El tope de compra mensual será único para la marca en su conjunto. • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A. • Promoción válida única y exclusivamente para compras realizadas vía POS de Bancard (Red Infonet). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, de débito, Bancard Check, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras a través de otras procesadoras (Dinelco, Cabal, etc). • Se excluyen del beneficio las compras realizadas con plataformas digitales ajenas a cada marca (Pedidos Ya, Monchis, Gu y/o Pedile a Charly). • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/media/ByC/bc-zonasurencarnacion-4926.pdf,Tope de compra mensual: Gs.800.000,Zona Sur - Encarnación
Otros,Sudameris,Megastar,20% de reintegro Hasta 12 cuotas sin interés,viernes y sábados,Desde 2025-08-15 hasta 2027-02-27,"20% de reintegro Hasta 12 cuotas sin interés.  1 ZONA ESTE – CIUDAD DEL ESTE VIGENCIA • Verificar según aplicación de promoción (ver cuadro más abajo). BENEFICIOS • Descuento en caja del comercio según aplicación de promoción (ver cuadro más abajo). • Reintegro en extracto según aplicación de promoción (ver cuadro más abajo). • Cuotas sin interés según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por cuenta de tarjeta de crédito: según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas únicamente con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, compras vía e-commerce y QR según aplicación de promoción (ver cuadro más abajo).. • Si un comercio tiene sucursales en diferentes ciudades, el tope de compra mensual se aplicará por comercio o marca, no por zona. El tope de compra mensual será único para la marca en su conjunto. • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A. • Promoción válida única y exclusivamente para compras realizadas vía POS de Bancard (Red Infonet). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. • El fraccionamiento en cuotas se debe solicitar al momento de la compra en caja del comercio. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, de débito, Bancard Check, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras vía otras procesadoras (Dinelco, Cabal, etc), sub redes y/o plataformas que no sean Infonet (Pagopar, etc.). • No acumulable/combinable con otras promociones. • Se excluyen del beneficio las compras realizadas con plataformas digitales ajenas a cada marca (Pedidos Ya, Monchis, Gu y/o Pedile a Charly). • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/media/ByC/bc-zonaestecde-090926.pdf,Tope de compra mensual: GS. 1.000.000,Zona Este - Ciudad del Este
Otros,Sudameris,Milord,"Hasta 50% de descuento en caja (según edad cumplida del cliente, con tope de hasta 50%), válido para un solo uso en fecha de cumpleaños. No incluye feriados y día de los enamorados 2026.",cumpleaños,Desde 2025-04-01 hasta 2026-02-28,"Hasta 50% de descuento en caja (según edad cumplida del cliente, con tope de hasta 50%), válido para un solo uso en fecha de cumpleaños. No incluye feriados y día de los enamorados 2026..  1 ZONA SUR – ENCARNACIÓN VIGENCIA • Verificar según aplicación de promoción (ver cuadro más abajo). BENEFICIOS • Descuento en caja del comercio según aplicación de promoción (ver cuadro más abajo). • Reintegro en extracto según aplicación de promoción (ver cuadro más abajo). • Cuotas sin interés según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por cuenta de tarjeta de crédito: según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas únicamente con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, compras vía e-commerce y QR según aplicación de promoción (ver cuadro más abajo).. • Si un comercio tiene sucursales en diferentes ciudades, el tope de compra mensual se aplicará por comercio o marca, no por zona. El tope de compra mensual será único para la marca en su conjunto. • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A. • Promoción válida única y exclusivamente para compras realizadas vía POS de Bancard (Red Infonet). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, de débito, Bancard Check, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras a través de otras procesadoras (Dinelco, Cabal, etc). • Se excluyen del beneficio las compras realizadas con plataformas digitales ajenas a cada marca (Pedidos Ya, Monchis, Gu y/o Pedile a Charly). • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/media/ByC/bc-zonasurencarnacion-4926.pdf,Tope de compra mensual: Sin Tope de compra,Zona Sur - Encarnación
Otros,Sudameris,Mirkel,20% de reintegro Hasta 10 cuotas sin interés,Viernes y sábado,Desde 2026-03-13 hasta 2026-08-01,"20% de reintegro Hasta 10 cuotas sin interés.  1 ZONA SUR – ENCARNACIÓN VIGENCIA • Verificar según aplicación de promoción (ver cuadro más abajo). BENEFICIOS • Descuento en caja del comercio según aplicación de promoción (ver cuadro más abajo). • Reintegro en extracto según aplicación de promoción (ver cuadro más abajo). • Cuotas sin interés según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por cuenta de tarjeta de crédito: según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas únicamente con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, compras vía e-commerce y QR según aplicación de promoción (ver cuadro más abajo).. • Si un comercio tiene sucursales en diferentes ciudades, el tope de compra mensual se aplicará por comercio o marca, no por zona. El tope de compra mensual será único para la marca en su conjunto. • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A. • Promoción válida única y exclusivamente para compras realizadas vía POS de Bancard (Red Infonet). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, de débito, Bancard Check, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras a través de otras procesadoras (Dinelco, Cabal, etc). • Se excluyen del beneficio las compras realizadas con plataformas digitales ajenas a cada marca (Pedidos Ya, Monchis, Gu y/o Pedile a Charly). • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/media/ByC/bc-zonasurencarnacion-4926.pdf,Tope de compra mensual: Gs. 800.000,Zona Sur - Encarnación
Otros,Sudameris,Morena Canela,20% de reintegro + 5% elite Hasta 10 cuotas sin interés,viernes y sábados,Desde 2026-05-15 hasta 2027-02-27,"20% de reintegro + 5% elite Hasta 10 cuotas sin interés.  1 ZONA ESTE – CIUDAD DEL ESTE VIGENCIA • Verificar según aplicación de promoción (ver cuadro más abajo). BENEFICIOS • Descuento en caja del comercio según aplicación de promoción (ver cuadro más abajo). • Reintegro en extracto según aplicación de promoción (ver cuadro más abajo). • Cuotas sin interés según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por cuenta de tarjeta de crédito: según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas únicamente con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, compras vía e-commerce y QR según aplicación de promoción (ver cuadro más abajo).. • Si un comercio tiene sucursales en diferentes ciudades, el tope de compra mensual se aplicará por comercio o marca, no por zona. El tope de compra mensual será único para la marca en su conjunto. • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A. • Promoción válida única y exclusivamente para compras realizadas vía POS de Bancard (Red Infonet). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. • El fraccionamiento en cuotas se debe solicitar al momento de la compra en caja del comercio. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, de débito, Bancard Check, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras vía otras procesadoras (Dinelco, Cabal, etc), sub redes y/o plataformas que no sean Infonet (Pagopar, etc.). • No acumulable/combinable con otras promociones. • Se excluyen del beneficio las compras realizadas con plataformas digitales ajenas a cada marca (Pedidos Ya, Monchis, Gu y/o Pedile a Charly). • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/media/ByC/bc-zonaestecde-090926.pdf,Tope de compra mensual: Gs. 500.000,Zona Este - Ciudad del Este
